Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ICOLCAP;15209,0;0,16;26272013324;1728506;24,0;15239,0;15239,0;15190,0;15199,26;FONDO BURSATIL ISHARES COLCAP;EQTY
PFBCOLOM;41700,0;0,29;22789966040;547806;120,0;41600,0;41840,0;41400,0;41602,26;BANCO BANCOLOMBIA;EQTY
ECOPETROL;1990,0;-1,97;19171972055;9519472;-40,0;2030,0;2040,0;1990,0;2013,97;ECOPETROL;EQTY
BCOLOMBIA;44780,0;2,85;11057508420;249810;1240,0;43980,0;44780,0;43380,0;44263,67;BANCO BANCOLOMBIA;EQTY
CEMARGOS;10680,0;-2,91;10375230700;961935;-320,0;10640,0;10940,0;10640,0;10785,79;CEMENTOS ARGOS;EQTY
GRUPOARGOS;19960,0;-1,29;6430543040;320509;-260,0;20280,0;20380,0;19960,0;20063,53;GRUPO ARGOS;EQTY
ISA;18060,0;-0,22;5990942500;331169;-40,0;18100,0;18160,0;18000,0;18090,29;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOSURA;37500,0;-0,42;3158169380;84063;-160,0;37500,0;37700,0;37300,0;37569,08;GRUPO SURA;EQTY
GEB;2555,0;-0,58;2957289795;1153395;-15,0;2575,0;2575,0;2555,0;2563,99;GRUPO ENERGIA BOGOTA;EQTY
PFDAVVNDA;18900,0;0,11;2443607600;128634;20,0;19100,0;19100,0;18900,0;18996,59;BANCO DAVIVIENDA;EQTY
PFAVAL;575,0;-0,86;2339885097;4065268;-5,0;562,0;580,0;561,0;575,58;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPSURA;30980,0;0,98;1900264360;62039;300,0;30780,0;30980,0;30460,0;30630,16;GRUPO SURA;EQTY
CORFICOLCF;17220,0;-0,58;1509619200;87624;-100,0;17440,0;17440,0;17140,0;17228,38;CORFICOLOMBIANA;EQTY
PFGRUPOARG;14880,0;-1,06;1024313000;68149;-160,0;15080,0;15080,0;14880,0;15030,49;GRUPO ARGOS;EQTY
PEI;69300,0;-0,29;703907100;10190;-200,0;69260,0;69300,0;68500,0;69078,22;PEI;EQTY
GRUBOLIVAR;63420,0;0,06;531499240;8372;40,0;63300,0;64180,0;63280,0;63485,34;GRUPO BOLIVAR;EQTY
CELSIA;3675,0;-0,14;503758645;137936;-5,0;3660,0;3675,0;3635,0;3652,12;CELSIA;EQTY
BOGOTA;28500,0;-0,84;466673080;16317;-240,0;28800,0;28800,0;28500,0;28600,42;BANCO DE BOGOTA;EQTY
PROMIGAS;6900,0;0,0;452286480;65549;0,0;6900,0;6900,0;6890,0;6899,98;PROMIGAS;EQTY
CONCONCRET;630,0;-0,16;324906772;514903;-1,0;630,0;635,0;630,0;631,01;CONCONCRETO S.A;EQTY
BBVACOL;178,0;-1,11;288153946;1619944;-2,0;175,0;180,0;175,0;177,88;BBVA COLOMBIA;EQTY
CNEC;11000,0;-1,96;228651160;20621;-220,0;11240,0;11240,0;11000,0;11088,27;CANACOL ENERGY LTD;EQTY
PFCORFICOL;15660,0;-0,13;226449060;14389;-20,0;15800,0;15800,0;15660,0;15737,65;CORFICOLOMBIANA;EQTY
EXITO;1920,0;-1,79;218508305;112735;-35,0;1960,0;1960,0;1920,0;1938,25;EXITO;EQTY
ENKA;18,0;3,45;198689386;11046939;0,6;17,7;18,2;17,7;17,99;ENKA DE COLOMBIA;EQTY
TERPEL;12000,0;-1,64;121090900;9963;-200,0;12220,0;12220,0;12000,0;12154,06;ORGANIZACION TERPEL;EQTY
GRUPOAVAL;560,0;1,82;69906905;125031;10,0;559,0;560,0;559,0;559,12;GRUPO AVAL ACCIONES Y VALORES;EQTY
ETB;-;-;48254957;871658;-;-;-;-;55,36;ETB;EQTY
BHI;300,0;0,0;45484738;151858;0,0;299,0;300,0;299,0;299,52;BAC HOLDING INTERNATIONAL CORP;EQTY
BVC;11100,0;-0,89;40725200;3651;-100,0;11100,0;11100,0;11100,0;11154,53;BOLSA DE VALORES DE COLOMBIA;EQTY
HCOLSEL;-;-;22012178;1338;-;-;-;-;16451,55;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
NUTRESA;-;-;21345740;208;-;-;-;-;102623,75;GRUPO NUTRESA;EQTY
PFCEMARGOS;-;-;9200520;823;-;-;-;-;11179,25;CEMENTOS ARGOS;EQTY
VALSIMESA;-;-;6260915;1303;-;-;-;-;4805,0;VALORES SIMESA;EQTY
GXTESCOL;-;-;2565000;50;-;-;-;-;51300,0;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
