Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;41020,0;0,94;11319910320;276518;380,0;40840,0;41200,0;40700,0;40937,34;BANCO BANCOLOMBIA;EQTY
ICOLCAP;15140,0;0,4;9648829592;637864;60,0;15120,0;15145,0;15117,0;15126,78;FONDO BURSATIL ISHARES COLCAP;EQTY
ECOPETROL;2020,0;1,0;9048609835;4444287;20,0;2030,0;2050,0;2020,0;2036,01;ECOPETROL;EQTY
CEMARGOS;10760,0;0,75;6452309500;604158;80,0;10520,0;10760,0;10500,0;10679,84;CEMENTOS ARGOS;EQTY
BCOLOMBIA;43000,0;0,23;6073534920;141280;100,0;43000,0;43240,0;42820,0;42989,35;BANCO BANCOLOMBIA;EQTY
PFGRUPSURA;30320,0;1,34;3799137080;126052;400,0;29960,0;30480,0;29960,0;30139,44;GRUPO SURA;EQTY
ISA;18360,0;2,0;3643326080;200394;360,0;18000,0;18360,0;18000,0;18180,81;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOARGOS;20400,0;0,69;2752594040;135875;140,0;20260,0;20400,0;20060,0;20258,28;GRUPO ARGOS;EQTY
GEB;2580,0;-0,39;2019284415;780613;-10,0;2615,0;2615,0;2570,0;2586,79;GRUPO ENERGIA BOGOTA;EQTY
CELSIA;3655,0;-0,68;1251710695;342249;-25,0;3690,0;3690,0;3620,0;3657,31;CELSIA;EQTY
PEI;69700,0;-1,13;1226942820;17711;-800,0;69700,0;69700,0;69100,0;69275,75;PEI;EQTY
PFGRUPOARG;14720,0;0,14;1077157260;72968;20,0;14780,0;14780,0;14700,0;14762,05;GRUPO ARGOS;EQTY
GRUBOLIVAR;64700,0;0,5;822807240;12718;320,0;64380,0;64760,0;64380,0;64696,28;GRUPO BOLIVAR;EQTY
GRUPOSURA;36900,0;-0,49;822187280;22181;-180,0;36800,0;37480,0;36800,0;37067,19;GRUPO SURA;EQTY
CORFICOLCF;17700,0;0,57;630928780;35864;100,0;17560,0;17700,0;17500,0;17592,26;CORFICOLOMBIANA;EQTY
PFAVAL;552,0;0,55;611339472;1106339;3,0;555,0;560,0;550,0;552,58;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFDAVVNDA;19100,0;0,0;609219060;31671;0,0;19300,0;19300,0;19100,0;19235,86;BANCO DAVIVIENDA;EQTY
BOGOTA;29020,0;0,48;459917900;15926;140,0;28880,0;29020,0;28860,0;28878,43;BANCO DE BOGOTA;EQTY
PROMIGAS;6920,0;-0,43;401973790;58139;-30,0;6910,0;6920,0;6910,0;6914,01;PROMIGAS;EQTY
EXITO;1920,0;1,59;227582135;119103;30,0;1910,0;1920,0;1905,0;1910,8;EXITO;EQTY
TERPEL;12300,0;1,82;227295700;18496;220,0;12300,0;12300,0;12260,0;12288,91;ORGANIZACION TERPEL;EQTY
CONCONCRET;630,0;-0,79;152176844;241157;-5,0;631,0;631,0;630,0;631,03;CONCONCRETO S.A;EQTY
BHI;300,0;1,35;116723335;390110;4,0;299,0;301,0;299,0;299,21;BAC HOLDING INTERNATIONAL CORP;EQTY
CNEC;-;-;63948440;5593;-;-;-;-;11433,66;CANACOL ENERGY LTD;EQTY
PFCORFICOL;15960,0;2,31;48151320;3024;360,0;15960,0;15960,0;15960,0;15923,06;CORFICOLOMBIANA;EQTY
GRUPOAVAL;-;-;47928686;87980;-;-;-;-;544,77;GRUPO AVAL ACCIONES Y VALORES;EQTY
ENKA;16,5;-;44329128,6;2659900;0,0;16,5;16,5;16,5;16,67;ENKA DE COLOMBIA;EQTY
OCCIDENTE;17100,0;0,59;38400800;2248;100,0;17100,0;17100,0;17100,0;17082,21;BANCO DE OCCIDENTE;EQTY
PFCEMARGOS;11300,0;6,6;28919140;2578;700,0;11300,0;11300,0;11300,0;11217,66;CEMENTOS ARGOS;EQTY
NUTRESA;-;-;26717480;262;-;-;-;-;101975,11;GRUPO NUTRESA;EQTY
GXTESCOL;51600,0;0,29;17079270;331;150,0;51600,0;51600,0;51600,0;51599,0;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
BVC;-;-;13588480;1214;-;-;-;-;11193,15;BOLSA DE VALORES DE COLOMBIA;EQTY
BBVACOL;-;-;3989772;23332;-;-;-;-;171,0;BBVA COLOMBIA;EQTY
HCOLSEL;-;-;2563765,5;156;-;-;-;-;16434,39;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
ELCONDOR;-;-;2250000;5000;-;-;-;-;450,0;EL CONDOR;EQTY
ETB;-;-;1922370,5;31767;-;-;-;-;60,51;ETB;EQTY
