Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2095,0;5,28;31817191320;15457668;105,0;2010,0;2110,0;2010,0;2058,34;ECOPETROL;EQTY
PFBCOLOM;41700,0;0,0;26209483160;631436;0,0;41320,0;41740,0;41200,0;41507,74;BANCO BANCOLOMBIA;EQTY
ICOLCAP;15260,0;0,34;15073469022;990740;51,0;15230,0;15260,0;15200,0;15214,35;FONDO BURSATIL ISHARES COLCAP;EQTY
BCOLOMBIA;44600,0;-0,4;9758025760;219183;-180,0;44780,0;44780,0;44100,0;44519,99;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;19700,0;-1,3;7321683560;371842;-260,0;19980,0;19980,0;19600,0;19690,31;GRUPO ARGOS;EQTY
ISA;17720,0;-1,88;7278885800;408589;-340,0;18020,0;18020,0;17600,0;17814,69;ISA INTERCONEXION ELECTRICA;EQTY
CEMARGOS;10700,0;0,19;5008545420;468831;20,0;10660,0;10740,0;10600,0;10683,05;CEMENTOS ARGOS;EQTY
PFDAVVNDA;18860,0;-0,21;3727687140;196982;-40,0;18940,0;18960,0;18840,0;18924,0;BANCO DAVIVIENDA;EQTY
GEB;2555,0;0,0;3448077850;1350053;0,0;2560,0;2565,0;2550,0;2554,03;GRUPO ENERGIA BOGOTA;EQTY
GRUPOSURA;37400,0;-0,27;3319633360;88257;-100,0;37700,0;37700,0;37400,0;37613,26;GRUPO SURA;EQTY
PFGRUPOARG;14960,0;0,54;2419593880;161788;80,0;15000,0;15000,0;14900,0;14955,34;GRUPO ARGOS;EQTY
BOGOTA;28520,0;0,07;2058227840;72174;20,0;28520,0;28540,0;28400,0;28517,58;BANCO DE BOGOTA;EQTY
PEI;69400,0;0,14;2049212220;29646;100,0;69300,0;69580,0;68640,0;69122,72;PEI;EQTY
PFAVAL;570,0;-0,87;1943542299;3409262;-5,0;570,0;573,0;568,0;570,08;GRUPO AVAL ACCIONES Y VALORES;EQTY
CORFICOLCF;17500,0;1,63;1667540760;96464;280,0;17280,0;17500,0;17160,0;17286,66;CORFICOLOMBIANA;EQTY
PFGRUPSURA;30780,0;-0,65;1497771220;48655;-200,0;30960,0;30960,0;30720,0;30783,5;GRUPO SURA;EQTY
CELSIA;3670,0;-0,14;362090410;98912;-5,0;3670,0;3670,0;3645,0;3660,73;CELSIA;EQTY
GRUBOLIVAR;62900,0;-0,82;254413400;4020;-520,0;63500,0;63500,0;62900,0;63286,92;GRUPO BOLIVAR;EQTY
CNEC;11100,0;0,91;233581760;21156;100,0;11100,0;11100,0;11000,0;11040,92;CANACOL ENERGY LTD;EQTY
NUTRESA;109000,0;8,98;226933580;2149;8980,0;104900,0;109000,0;104900,0;105599,62;GRUPO NUTRESA;EQTY
CONCONCRET;629,0;-0,16;202953411;322221;-1,0;630,0;630,0;629,0;629,86;CONCONCRETO S.A;EQTY
ENKA;18,7;3,89;129548519,4;6967008;0,7;18,5;18,7;18,5;18,59;ENKA DE COLOMBIA;EQTY
EXITO;-;-;129402485;68279;-;-;-;-;1895,2;EXITO;EQTY
PROMIGAS;6900,0;0,0;91678620;13267;0,0;6910,0;6910,0;6900,0;6910,28;PROMIGAS;EQTY
PFCORFICOL;15800,0;0,89;82215340;5223;140,0;15660,0;15800,0;15660,0;15741,02;CORFICOLOMBIANA;EQTY
GRUPOAVAL;553,0;-1,25;41104897;73597;-7,0;553,0;553,0;553,0;558,51;GRUPO AVAL ACCIONES Y VALORES;EQTY
BHI;297,0;-1,0;40059708;134533;-3,0;297,0;297,0;297,0;297,77;BAC HOLDING INTERNATIONAL CORP;EQTY
TERPEL;-;-;39356700;3241;-;-;-;-;12143,38;ORGANIZACION TERPEL;EQTY
GXTESCOL;51500,0;-0,19;33060040;642;-100,0;51500,0;51500,0;51500,0;51495,39;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
PFCEMARGOS;-;-;19668000;1773;-;-;-;-;11093,06;CEMENTOS ARGOS;EQTY
ETB;-;-;9353081,5;160676;-;-;-;-;58,21;ETB;EQTY
BBVACOL;-;-;9192410;54073;-;-;-;-;170,0;BBVA COLOMBIA;EQTY
BVC;-;-;7067500;637;-;-;-;-;11094,98;BOLSA DE VALORES DE COLOMBIA;EQTY
PAZRIO;-;-;3889452;926060;-;-;-;-;4,2;ACER. PAZ DEL RIO;EQTY
ELCONDOR;-;-;3520860;8383;-;-;-;-;420,0;EL CONDOR;EQTY
FABRICATO;-;-;2043000;900000;-;-;-;-;2,27;FABRICATO;EQTY
HCOLSEL;-;-;1897499;115;-;-;-;-;16499,99;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
