Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ICOLCAP;15185,0;0,3;29138153298,5;1916516;45,0;15216,0;15253,0;15185,0;15203,71;FONDO BURSATIL ISHARES COLCAP;EQTY
PFBCOLOM;41580,0;1,37;21384780660;515774;560,0;41160,0;41680,0;41160,0;41461,53;BANCO BANCOLOMBIA;EQTY
CEMARGOS;11000,0;2,23;20404634620;1872041;240,0;10760,0;11000,0;10760,0;10899,67;CEMENTOS ARGOS;EQTY
BCOLOMBIA;43540,0;1,26;13375063520;307995;540,0;43100,0;43600,0;43040,0;43426,24;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2030,0;0,5;7095928460;3506718;10,0;2020,0;2040,0;2020,0;2023,52;ECOPETROL;EQTY
PFGRUPSURA;30680,0;1,19;6527645520;213921;360,0;30340,0;30680,0;30340,0;30514,28;GRUPO SURA;EQTY
ISA;18100,0;-1,42;2861776500;157727;-260,0;18340,0;18340,0;18040,0;18143,86;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOARGOS;20220,0;-0,88;2549153700;125751;-180,0;20160,0;20900,0;20160,0;20271,44;GRUPO ARGOS;EQTY
CORFICOLCF;17320,0;-2,15;2135833060;122127;-380,0;17520,0;17600,0;17320,0;17488,62;CORFICOLOMBIANA;EQTY
GRUPOSURA;37660,0;2,06;2077071600;55530;760,0;36900,0;37700,0;36900,0;37404,49;GRUPO SURA;EQTY
GEB;2570,0;-0,39;2002965955;776985;-10,0;2580,0;2595,0;2565,0;2577,87;GRUPO ENERGIA BOGOTA;EQTY
PFAVAL;580,0;5,07;1894756289;3351404;28,0;558,0;580,0;556,0;565,36;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPOARG;15040,0;2,17;1488872800;99228;320,0;14840,0;15080,0;14840,0;15004,56;GRUPO ARGOS;EQTY
PFDAVVNDA;18880,0;-1,15;1334943780;70071;-220,0;19200,0;19200,0;18880,0;19051,3;BANCO DAVIVIENDA;EQTY
CELSIA;3680,0;0,68;1267905985;347695;25,0;3655,0;3680,0;3630,0;3646,6;CELSIA;EQTY
PEI;69500,0;-0,29;1240654320;17941;-200,0;69120,0;69500,0;69000,0;69151,9;PEI;EQTY
NUTRESA;100020,0;0,02;572766440;5725;20,0;100000,0;100020,0;99980,0;100046,54;GRUPO NUTRESA;EQTY
EXITO;1955,0;1,82;542569505;278795;35,0;1955,0;1955,0;1935,0;1946,12;EXITO;EQTY
GRUBOLIVAR;63380,0;-2,04;352088800;5520;-1320,0;64600,0;64600,0;63280,0;63784,2;GRUPO BOLIVAR;EQTY
BOGOTA;28740,0;-0,96;299405940;10421;-280,0;28900,0;28900,0;28640,0;28731,02;BANCO DE BOGOTA;EQTY
CNEC;11220,0;-2,26;254087980;22491;-260,0;11480,0;11480,0;11220,0;11297,32;CANACOL ENERGY LTD;EQTY
PFCORFICOL;15680,0;-1,75;188017500;11884;-280,0;15900,0;15920,0;15680,0;15821,06;CORFICOLOMBIANA;EQTY
TERPEL;12200,0;-0,81;178519660;14490;-100,0;12400,0;12400,0;12200,0;12320,2;ORGANIZACION TERPEL;EQTY
PROMIGAS;6900,0;-0,29;170174780;24625;-20,0;6990,0;6990,0;6870,0;6910,65;PROMIGAS;EQTY
CONCONCRET;631,0;0,16;166805040;264498;1,0;628,0;632,0;627,0;630,65;CONCONCRETO S.A;EQTY
ENKA;17,4;5,45;162554109,6;9442159;0,9;17,0;17,4;17,0;17,22;ENKA DE COLOMBIA;EQTY
GRUPOAVAL;550,0;1,85;91566456;165828;10,0;550,0;557,0;547,0;552,18;GRUPO AVAL ACCIONES Y VALORES;EQTY
BHI;300,0;-;68431260;228299;0,0;300,0;300,0;300,0;299,74;BAC HOLDING INTERNATIONAL CORP;EQTY
PFCEMARGOS;-;-;46395160;4080;-;-;-;-;11371,36;CEMENTOS ARGOS;EQTY
OCCIDENTE;17140,0;0,23;27783940;1621;40,0;17140,0;17140,0;17140,0;17140,0;BANCO DE OCCIDENTE;EQTY
ETB;-;-;19087067,5;329905;-;-;-;-;57,86;ETB;EQTY
BVC;-;-;15032580;1336;-;-;-;-;11251,93;BOLSA DE VALORES DE COLOMBIA;EQTY
HCOLSEL;-;-;9179913;555;-;-;-;-;16540,38;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PAZRIO;-;-;3506874;834970;-;-;-;-;4,2;ACER. PAZ DEL RIO;EQTY
GXTESCOL;-;-;566500;11;-;-;-;-;51500,0;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
